Screen Name;Is_Bot ( 1 for Bot / 0 for Human)
@nayefslemylpl;1
@mofregwohaimlka;1
@asma33ael3omara;1
@MosalmElq7tany;1
@mehannaowaicwql;1
@elmatere_33ed;1
@DeffEllhebi443;1
@ekabsawwanbaui;1
@raed13;0
@mohameed_mefreh;1
@wanisgaradihchc;1
@alinasser25;1
@easternprovence;0
@marwanbenazszeh;1
@ekabmasoudimeou;1
@saelabosaidpvtf;1
@elwykatbircgt;1
@karimragehywknz;1
@faisalmehalosfo;1
@shaherdoayecfvs;1
@Mo_Zaeem;0
@yaserkredesiblo;1
@azzamshattyuiuu;1
@Amthiebalakiel;1
@abdelbariroyhpj;1
@MootekSaleh;1
@Awad_Zahrani;1
@Salar_15x;0
@almahadan33;1
@alsahraee_moham;1
@salamahabedybmx;1
@hafedmorad;1
@maomar000;0
@mahiobsahiardzk;1
@abdullahesenoip;1
@ahmedmehalhvvjh;1
@eyadherefiylre;1
@Benkhaled_A;1
@bu7tory;1
@sara_elmoehi34;1
@betalragehypmox;1
@as7gooohom;0
@saleheluiea;1
@YeMonitor;0
@moslehsawwavngo;1
@kenanbnhansltaa;1
@fadelulaiman;1
@DrWalyazeedi;0
@sahersodaisdhxb;1
@3baasElsabhan;1
@Lzzaz;1
@mo3mmryat;1
@fayedmenakeucxh;1
@ayideseimyamngj;1
@Elshahri915Ali;1
@GabrElnashamy;1
@soudathathiejdb;1
@muieakieabol;1
@thabetbalwicemn;1
@medomyg16;1
@El3gmi9883M7md;1
@nabaakw;0
@abdallahhusaara;1
@MLa3rab;1
@faheadebdie;1
@gaser_elgd3an;1
@EgGulfWafdeen;1
@omairnageysdzpb;1
@amr_s_a;1
@yosefsamriegvsw;1
@gawadezeqixklh;1
@SaliehSalem2;1
@ramla2018;1
@gobranabdeliuqh;1
@fahody9_;0
@hamedghazawwczn;1
@theroyalkw;0
@bn3ateeqq;1
@alhamidi_nasser;0
@zaeem14;0
@gazialshokrchli;1
@almadi_madi;0
@AbdalaalMutairi;1
@Altabtabie;1
@AYouddef;0
@hanan_mansoob;1
@kayed112;0
@5adijah125;1
@AlgrahSaud;1
@shoaibmeabaftnk;1
@soumayaalamiry;1
@Ghalia_soliman;0
@helmisawwatftdw;1
@addo995;1
@Haifash32;0
@soudtarqiqqiwvj;1
@taher_samy;1
@makbolsaeghzrqy;1
@abdelazizmovqpf;1
@prJbbb;0
@shadibenmesxxdr;1
@elfahamy6e;1
@salemotthaithzn;1
@hashemtarqibmfq;1
@tariqwalid4;1
@abobakrabdepjai;1
@ahmed_hakmi34;1
@atlsmmc;0
@Drnaglaa11;0
@mdahmashi;1
@mohammedbehlspc;1
@aboubaidahbinib;1
@AmnestyAR;0
@ghazipeaceful;1
@ParadiseAgency4;0
@Alsabeel_zyrt;0
@abuomar1437m;1
@mosaadkoeaney;1
@todayoffers_sa;1
@Salim_R_Almarri;0
@saadbeina;1
@abdohausen;0
@mohamedwaficcyn;1
@adnannaqashmgzf;1
@salahbakariyxcs;1
@makabawal_alal1;1
@arabicfarsnews;0
@omar_hussen9883;1
@firass_kalash;0
@damengeadyddujz;1
@alysharahilmxda;1
@Fahad_Allahaim;1
@abdlerahmantdey;1
@sa3ed54578;1
@Saadalsakri;1
@Omaralshakiir;1
@MhmdddFaresss;1
@amersh2002;1
@D7D7_M_GH;1
@anturrashodqyva;1
@naharyfawzatpex;1
@manasawww33;1
@kasednowaistizz;1
@walidowaissceu;1
@AlmsheilHamoud;1
@mishalOffice;0
@saeghtayyaskvri;1
@elzobaydezakrrr;1
@raedgeadyvqjbcd;1
@sohaibghalezloh;1
@sherifghanndaxh;1
@alianbaalolsclh;1
@mohsenmertaxuji;1
@7assanWaled;1
@Next_Profession;0
@mohammedalmine3;1
@azzamgefalibsiw;1
@hazemwafipodhst;1
@abdelelahbejamg;1
@abdelrhmansrxyi;1
@salehaljuhani21;1
@mohsentamimrhhe;1
@adnansheblinzte;1
@amgadhakmyaqcs;1
@mariam_khaled67;1
@5jOfofZkppA77K0;0
@ayidabdelwadgeh;1
@alyrabiahhuksgk;1
@gehadfalehtgaj;1
@ragaashallauzkw;1
@s_alaraki;1
@abedalkareem_s1;1
@_abofalah;1
@suleman_khaled5;1
@alsharji_khalid;1
@kaedmeshalydeuy;1
@abdallahbasnwhd;1
@MalhamDC;0
@gazisafwanhoye;1
@makuwaiz;0
@mofreghamidhfor;1
@rana_abdelrhma1;1
@saedkerezilmwp;1
@AlkriesheHssan;1
@motalaak021_7am;1
@mona_elqahtan65;1
@alsanadpage;1
@yonesfawzannxet;1
@HshammmNnasefff;1
@salahamodiyrcrc;1
@2hVfrrvKn8rQhYG;1
@moagebmakharxug;1
@KarbiAliy;1
@mahmuodDashti;1
@kdo_131;0
@alkarefee0_yy;1
@TFK11925916;1
@LBCI_NEWS;0
@umsadam;1
@AHMADALAZMI74;1
@mohannadbahoods;1
@ayedkemeryxmypo;1
@Amoore_h;0
@elawirefaykqgl;1
@DanialeJackson;0
@fadihoshanibjir;1
@amoryshetefgxjt;1
@ShammariMohareb;1
@alatyabiie33;1
@elgeabiry;1
@albadraniie_sab;1
@M7mdElsa3ed;1
@Sharqiya_Madar;1
@hamdan_thamer;0
@amremorbackgeeu;1
@mozkerneamitbee;1
@azabbenazzahtyi;1
@mohammedkhulai3;1
@alsaidi888;0
@alkhalid2k1;0
@dreamneno;1
@nasrfahd5;1
@halilamoditwewb;1
@reshar1986;0
@alselham_co;0
@lih0111;1
@metaebsulhagsuk;1
@fayyadhadraqblh;1
@alizobaidiwceb;1
@alahmade7845_am;1
@ibraheimresha;1
@cytote_c1;0
@hedarrs3od344;1
@elnawisar_tt;1
@nornohyrlra;1
@hassandrewesh34;1
@atefghanemlzgjm;1
@alatayabieee;1
@abdelrehemsxepi;1
@hawashsa_tt;1
@yazideseimynsgi;1
@wagarhabib;1
@farrasagamiolyd;1
@Khaled_photos;0
@KOCparamedic;1
@AaliiiNnagjiii;1
@gom3a_abdelal93;1
@GulfCentre4HR;1
@FfhdddMhmddd;1
@awwadgasemgtcqo;1
@abdelmegidaxsqv;1
@toradtamimqwsjv;1
@asemmateriqyxnf;1
@ferehtamimykqxs;1
@baaste15;1
@abdallahdabdcgh;1
@sade2_far7an34;1
@khedrmagedydplq;1
@khalid76;0
@AldousareyMousa;1
@ZakiElbahegi;1
@zaidabdulrahma6;1
@mohamedalqarni9;1
@nagibnagafirxfb;1
@fayedselelyfbvm;1
@gamanbansarjety;1
@tabuk3535;1
@SadekMohdy;1
@elgalllefe_ebra;1
@rrashidbinabdul;1
@abo_raghad20112;1
@ghassabanzi;1
@RRHRRHR;1
@t1980turki;0
@maherzafranzhsp;1
@mansourmenajsva;1
@aldayeel44;1
@mozkeraboabrduy;1
@nijmihi;0
@HXL9;0
@aminesanrsirmai;1
@khaledshetrpdgn;1
@YN180;1
@MossaNofal;1
@awtannews;0
@news_al3alm;1
@farhanabdellvuc;1
@esmaelhamisowpc;1
@yosefbatrafkkhd;1
@fayyadgabouudnp;1
@amrelhady4000;0
@eldawasarealdos;1
@fahidalshammari;1
@Group_almadinah;1
@gobranbeharpdkv;1
@ahmedayman32;1
@HhmdannnAahmedd;1
@HamziAli6;1
@amgadmeshalmmgf;1
@hamzahhoshavtfw;1
@yalla_shoot9;0
@salam21098955;0
@mortadabenhhyzh;1
@aymanbasehimjem;1
@kaleed_abrahiem;1
@bayanmowalekznt;1
@fahdatifpezpadf;1
@saidselelycjfw;1
@hazallel3tebi45;1
@abdelmohsenphvg;1
@hamadzmanan9651;1
@sororgarahqdaiw;1
@BoresliTariq;0
@elmohamademaraz;1
@AmerSweden923;1
@Ab0_badr;0
@abedalazez_moh2;1
@abdallhesula;1
@fadihegrioulzuv;1
@fahad_alhusainy;0
@gebrelshoebzita;1
@adamzeyabzpqstj;1
@alwashem2000;1
@abedalla54_3ana;1
@amregawhargaryh;1
@sororhamodiqnzr;1
@NayelClinics;0
@_nada_q;0
@omeiaerehura;1
@abedallaabdalmo;1
@Kamal_AlShihaby;1
@tawfiknashizpok;1
@m7md_eldosari87;1
@htalhathal;1
@wrshaa_site;0
@omearejeai;1
@alnasharee44_m1;1
@alyrakanwvwzcft;1
@saralsheik;0
@saedalalihvwebh;1
@AlmlhamOmaar;1
@KhaldeeeGomana;1
@Sodasksa;0
@aaeesh1813;1
@ahmedalihmeda3;1
@Hash_law;0
@suleman_el3glan;1
@dhafesultan;1
@mostafashafay9;0
@ggMmNDMtH8ZDhiY;0
@mahammedmohmynu;1
@bayanbassasefgn;1
@zakihayelggtdca;1
@SalehBinSaadALD;1
@alanazifaleh;1
@ALSRHANI;1
@kheria_qa3ed677;1
@zaherkattanslza;1
@ragehaslamiaofr;1
@ebrahimshatnehn;1
@awwadsamrikfnoa;1
@alhazakliie_ray;1
@mehannaghairelk;1
@soudazzazctel;1
@abdallahDerwish;0
@suggest_title;0
@kamelkalbanqhul;1
@nagiwasellhnhlc;1
@alolyalhofaycpi;1
@madyankh;0
@HarbiTireb;1
@msalhoimly;1
@snfor1010;1
@bekhitkhaddakcd;1
@rajaalmahameed;0
@ebadahmekdautes;1
@A1Rahim1;1
@saeghnageytezu;1
@kenanshalhopuhl;1
@abedalrahorya2;1
@naeafakhale;1
@haiderkahlyxqkb;1
@m_aldhoori;0
@nagwa_elsalmi45;1
@bdor_elahmdi34e;1
@baendaerebuia;1
@abdulazizaldul3;1
@000ssara000;0
@ryad_elt7eni983;1
@molkabalkawdjqw;1
@shadibaalolxstp;1
@elgindi_fa;0
@AnwaarZaied;1
@wagwagdemoha;1
@el3utaiby_;1
@basem287;1
@sa3adamri;0
@salemhammami5;1
@a43a_n;0
@saifabdelghlmre;1
@faleh74;1
@nawwafsharamwwu;1
@yahyaa3amaar415;1
@osamanuqaly;0
@soltankaydihvsi;1
@toradabogawzqzv;1
@ferehmotawerdyy;1
@medanisaedahitv;1
@muhali2002015;1
@HurrTours;0
@raedzaakqffjuhe;1
@rahkmadkhalgcna;1
@OssamaElrweshed;1
@NfmmLYEpucs12yq;0
@elmatere_saif;1
@ayeshbatlyuaduw;1
@mohammedbenlqbc;1
@al_alree7;0
@ayyobmorshewwlk;1
@sul19191;1
@omarmehalhekyhp;1
@doha_qtri;1
@nagimehesnijnrx;1
@rr77lpp;0
@ferehgahfalrdrr;1
@tarek_elsaqat45;1
@elewibengobrtyw;1
@SufianZobeer;1
@solimanmekaafxd;1
@AlmshadAlyemeni;1
@alidebeshbhbjqa;1
@2icpAYVjF3LIkcS;0
@k_almadum1950;0
@radialhofanhwhu;1
@hadikoraishjsvi;1
@FaheedGalal;1
@mohammedhahran1;1
@AlateshanMisfer;1
@ALyemenNow;0
@okailshadibuok;1
@abedalla_farhan;1
@monthlyfarid;1
@alwalidanziubfl;1
@abdelsalamhwuhf;1
@naginageyihcw;1
@magedokariedas;1
@Abdulrahmansawi;1
@bekhitfarraoelu;1
@Almsjed_Alaqsa;0
@iHelmy195;0
@muath____;1
@abdelbarimarnwu;1
@SeafuierShiban;1
@jam10212799;1
@abedaklla_5amad;1
@yusu888_elgahin;1
@alymon12345;0
@Lololila20;1
@abdallahmehhxfe;1
@ramzymagedyvqct;1
@45xs2;0
@sayeeeb7_mohame;1
@khalifahtamqhif;1
@mehannabishwyvy;1
@rewardsahiu;1
@badranalkawywdp;1
@mansourhemakrzl;1
@hammodsowaibzcd;1
@saeghshokyvxjgf;1
@bdulrahmanbingh;1
@Momentary_Rest;0
@AlAjmiMansour1;1
@alzamaeel72;1
@mpohamed47_rafe;1
@SoudAlsayari;1
@Tro0q;1
@ITHAR72;1
@Gene5Boscio5;1
@sirabdullaziz;1
@zaheraslamiukcm;1
@UKuni1;1
@khalilbaalolewt;1
@salemalharbi204;1
@mahammedabdjxvq;1
@ateyyaalshosnmx;1
@mahdianwarsmnq;1
@EgyptHunts;0
@flat2letnet;0
@falehamodilsigy;1
@AlHadath;0
@zaidAlmotiri;0
@hadi1sa;0
@ragaeeh23_ahmed;1
@ragaalzaayeed47;1
@isehaak;0
@Fahad_Aldurehim;1
@el3araweee_hame;1
@to_ld;1
@amgadsororamsry;1
@zakareyahamxrkr;1
@moabernayefsmwd;1
@abdulra52609154;1
@mahermaged7;1
@youssefad;1
@3ali3azeez;1
@nada_s3odd678;1
@khalilgerebdkrt;1
@mazenzebalixbxr;1
@ahmed_qahtani56;1
@wahidmahdiiahng;1
@khalifapeaceful;1
@last_loveer;0
@saeedmahdimoha1;1
@shoaibkhalefzox;1
@abdelwahabbhass;1
@coolmarzoukalom;1
@nawwafmenawbyzk;1
@mohamme80929906;1
@InShemale;1
@ferehokarirfrq;1
@o_atr7;1
@damennaharvhpaz;1
@hamod_elga3edd4;1
@aboaymnameen96;1
@al7arapiie_hade;1
@1992__x;1
@wasenq;1
@algrshan;1
@kaedsowaidyqivd;1
@ekabsharahiivuy;1
@boshknaa62;1
@modhysahlawxnap;1
@betaldabeamkbvi;1
@shikmohamd;0
@redagahniryww;1
@salemshallauavf;1
@abdlrahmanguzva;1
@DhsWFk3pVpTXK9V;0
@3aliEl3eesa;1
@habib888_alii;1
@do7ha_86;1
@hamidshamlafqyn;1
@hamod_elsbe3ii6;1
@motorsouq;1
@mohammedzaljade;1
@Ameera40179024;1
@abdallhaibrhem1;1
@albrakahmed2;1
@hasinaksampkgqg;1
